[00:15:32.3449740][INFO/main.cpp:159] Yim's Menu Initializing
[00:16:18.2038509][INFO/gta_data_service.cpp:520] Cache has been rebuilt.
	Peds: 1051
	Vehicles: 843
	Weapons: 119
	WeaponComponents: 380
[00:16:18.2038880][DEBUG/gta_data_service.cpp:523] Starting cache saving procedure...
[00:16:18.2045471][DEBUG/thread_pool.cpp:96] Thread 12080 executing gta_data_service.cpp:524
[00:16:18.2156196][INFO/gta_data_service.cpp:576] Finished writing cache to disk.
[00:16:18.2156452][DEBUG/gta_data_service.cpp:160] Loading data from cache.
[00:16:18.2156499][INFO/gta_data_service.cpp:172] Loading 1051 peds from cache.
[00:16:18.2162493][INFO/gta_data_service.cpp:190] Loading 843 vehicles from cache.
[00:16:18.2169078][INFO/gta_data_service.cpp:207] Loading 119 weapons from cache.
[00:16:18.2169196][INFO/gta_data_service.cpp:208] Loading 380 weapon components from cache.
[00:16:18.2169490][DEBUG/gta_data_service.cpp:166] Loaded all data from cache.
[00:17:02.5395473][INFO/queue_dependency.cpp:63] Blocking AC Verifier 9621f0
[00:17:02.5396169][INFO/queue_dependency.cpp:63] Blocking AC Verifier a668ec
[00:17:02.5416331][INFO/queue_dependency.cpp:63] Blocking AC Verifier 66f774
[00:17:02.5416745][INFO/queue_dependency.cpp:63] Blocking AC Verifier 66f6fc
[00:17:02.5544952][INFO/queue_dependency.cpp:63] Blocking AC Verifier 45acf4
[00:17:02.5550614][INFO/queue_dependency.cpp:63] Blocking AC Verifier 459f38
[00:17:02.5550808][INFO/queue_dependency.cpp:63] Blocking AC Verifier 5ca880
[00:18:22.9734795][INFO/queue_dependency.cpp:63] Blocking AC Verifier 318b98
[00:18:23.5142342][INFO/queue_dependency.cpp:63] Blocking AC Verifier 335458
[00:18:23.5142834][INFO/queue_dependency.cpp:63] Blocking AC Verifier 335430
[00:18:23.5143900][INFO/queue_dependency.cpp:63] Blocking AC Verifier 4012b8
[00:18:23.5535025][INFO/queue_dependency.cpp:63] Blocking AC Verifier 66f724
[00:18:23.5535412][INFO/queue_dependency.cpp:63] Blocking AC Verifier 66f74c
[00:21:18.2949842][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: AWARD_XP; DATA: "amt":20000,"type":2467613365,"cat":1223799452,"pt":3981893995,"slot":0
[00:26:18.2306440][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: W_L; DATA: "c":[108.61,248.15,107.24],"wantedlvl":1
[00:26:18.2307026][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: W_L; DATA: "c":[158.93,88.28,85.37],"wantedlvl":2
[00:26:18.2307269][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: W_L; DATA: "c":[-27.36,-421.71,38.99],"wantedlvl":3
[00:26:18.2307548][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: ESVCS; DATA: "c":[-238.93,-1021.90,28.23],"name":353883353,"cd":[-238,-1021],"wlvl":3
